               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11738,            0.033378,                   0,            0.026044,             0.69565,            0.040367,           0.0082487,             0.11674,            0.018768,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.11689,            0.032442,                   0,           0.0032576,             0.93478,            0.031354,           0.0077349,            0.092372,            0.016332,                   0,            0.090091,           0.0010909,           0.0010909
                   2,            0.093058,            0.030196,                   0,            0.019174,              0.8913,            0.064493,              0.0163,             0.09099,            0.013557,                   0,            0.084672,            0.001672,            0.001672
                   3,            0.084398,            0.031837,                   0,             0.32794,             0.58696,              0.2968,             0.08685,            0.080612,            0.012243,                   0,            0.079243,           0.0022431,           0.0022431
                   4,            0.073057,            0.031213,                   0,             0.32203,             0.43478,             0.36123,             0.13272,            0.073996,            0.011835,                   0,            0.073804,           0.0028043,           0.0028043
                   5,            0.062422,            0.030615,                   0,             0.44176,             0.48175,             0.47976,             0.17598,            0.069606,            0.014762,                   0,            0.068356,           0.0033556,           0.0033556
                   6,            0.060074,            0.027281,                   0,             0.54669,              0.6087,             0.62212,             0.27277,            0.064351,            0.011594,                   0,            0.062897,            0.003897,            0.003897
                   7,            0.059643,            0.022735,                   0,             0.41832,                 0.5,             0.42558,             0.16435,            0.074822,           0.0090096,                   0,            0.057429,           0.0044286,           0.0044286
                   8,            0.056481,             0.02387,                   0,             0.49545,             0.65217,             0.55639,             0.21255,            0.069909,           0.0082016,                   0,             0.05195,           0.0049502,           0.0049502
                   9,            0.061768,            0.024168,                   0,               0.577,             0.80435,             0.68503,             0.25706,            0.062945,           0.0075433,                   0,            0.046462,           0.0054619,           0.0054619
                  10,            0.057699,            0.022366,                   0,             0.50554,             0.77799,              0.6375,             0.22263,            0.069404,           0.0065994,                   0,            0.040964,           0.0059638,           0.0059638
                  11,            0.054391,            0.022618,                   0,             0.72379,             0.76087,              0.7318,             0.34049,            0.059647,           0.0064149,                   0,            0.035456,           0.0064557,           0.0064557
